country_codelist,country
all,All
oman,Oman
pakistan,Pakistan
papua,Papua
paraguay,Paraguay
peru,Peru
philippines,Philippines
poland,Poland
portugal,Portugal
qatar,Qatar
russia,Russia
saudi,Saudi
serbia,Serbia
singapore,Singapore
slovakia,Slovakia
slovenia,Slovenia
solomon,Solomon
somalia,Somalia
south,South
spain,Spain
sri,Sri
sudan,Sudan
swaziland,Swaziland
sweden,Sweden
switzerland,Switzerland
syria,Syria
taiwan,Taiwan
tanzania,Tanzania
thailand,Thailand
togo,Togo
trinidad,Trinidad
turkey,Turkey
uganda,Uganda
ukraine,Ukraine
united,United
usa,Usa
uzbekistan,Uzbekistan
venezuela,Venezuela
vietnam,Vietnam
yemen,Yemen
zambia,Zambia
romania,Romania
rwanda,Rwanda
seychelles,Seychelles
st,St
uruguay,Uruguay
senegal,Senegal
sierra,Sierra
tunisia,Tunisia
yugoslavia,Yugoslavia
panama,Panama
suriname,Suriname
turkmenistan,Turkmenistan
turks,Turks
reunion,Reunion
tajikistan,Tajikistan
republic,Republic
palestine,Palestine
"sudan,","Sudan,"
vanuatu,Vanuatu
