police-force-geography,geography
E23000036,Avon and Somerset
E23000026,Bedfordshire
E23000023,Cambridgeshire
E23000006,Cheshire
E23000013,Cleveland
E23000002,Cumbria
E23000018,Derbyshire
E23000035,Devon and Cornwall
E23000039,Dorset
E23000008,Durham
W15000004,Dyfed-Powys
E23000028,Essex
E23000037,Gloucestershire
E23000005,Greater Manchester
W15000002,Gwent
E23000030,Hampshire
E23000027,Hertfordshire
E23000012,Humberside
E23000032,Kent
E23000003,Lancashire
E23000021,Leicestershire
E23000020,Lincolnshire
E23000034,"London, City of"
E23000004,Merseyside
E23000001,Metropolitan Police
E23000024,Norfolk
W15000001,North Wales
E23000009,North Yorkshire
E23000022,Northamptonshire
E23000007,Northumbria
E23000019,Nottinghamshire
W15000003,South Wales
E23000011,South Yorkshire
E23000015,Staffordshire
E23000025,Suffolk
E23000031,Surrey
E23000033,Sussex
E23000029,Thames Valley
E23000017,Warwickshire
E23000016,West Mercia
E23000014,West Midlands
E23000010,West Yorkshire
E23000038,Wiltshire
