npp-border,border
en_ni,En_Ni
en_sc,En_Sc
en_wa,En_Wa
ni_en,Ni_En
ni_sc,Ni_Sc
ni_wa,Ni_Wa
sc_en,Sc_En
sc_ni,Sc_Ni
sc_wa,Sc_Wa
wa_en,Wa_En
wa_ni,Wa_Ni
wa_sc,Wa_Sc
