crime-offence,offence
80,Absconding from lawful custody
71,Abuse of children through sexual exploitation
73,Abuse of position of trust of a sexual nature
31,Aggravated burglary in a building other than a dwelling(outcome only)
29,Aggravated burglary in a dwelling (outcome only)
37.2,Aggravated vehicle taking
76,Aiding suicide
56A,Arson endangering life
56B,Arson not endangering life
8N,Assault with injury
5D,Assault with intent to cause serious harm
105A,Assault without injury
104,Assault without injury on a constable
30B,Attempted burglary in a building other than a dwelling (outcome only)
28B,Attempted burglary in a dwelling (outcome only)
28D,Attempted distraction burglary in a dwelling (outcome only)
2,Attempted murder
83,Bail offences
26,Bigamy
35,Blackmail
30A,Burglary in a building other than a dwelling (outcome only)
28A,Burglary in a dwelling(outcome only)
37.1,Causing death by aggravated vehicle taking
4.6,Causing death by careless driving under influence of drink or drugs
4.8,Causing death by careless or inconsiderate driving
4.4,Causing death by dangerous driving
4.9,Causing death or serious injury by driving: unlicensed drivers etc.
4.7,Causing or allowing death of child or vulnerable person
22A,Causing sexual activity without consent
13,Child abduction
15,Concealing an infant death close to birth
3A,Conspiracy to murder
58B,Criminal damage to a building other than a dwelling
58A,Criminal damage to a dwelling
58C,Criminal damage to a vehicle
11A,Cruelty to children/young persons
802,Dangerous driving
95,"Disclosure, obstruction, false or misleading statements etc"
43,Dishonest use of electricity
28C,Distraction burglary in a dwelling (outcome only)
5E,Endangering life
24,Exploitation of prostitution
88E,Exposure and voyeurism
60,Forgery or use of false drug prescription
814,"Fraud, forgery etc associated with vehicle or driver records"
33,"Going equipped for stealing, etc"
54,Handling stolen goods
8L,Harassment
1/4.1/4.10/4.2,Homicide
23,Incest or familial sexual offences
4.3,Intentional destruction of a viable unborn child
126,Interfering with a motor vehicle
36,Kidnapping
49A,Making off without payment
33A,"Making, supplying or possessing articles for use in fraud"
106,Modern slavery
86,Obscene publications etc
69,Offender Management Act offences
58D,Other criminal damage
92C,Other drug offences
81,Other firearms offences
61,Other forgery
90,Other knives offences
88C,Other miscellaneous sexual offences
99,Other notifiable offences
66,Other offences against the State or public order
49,Other theft
67,Perjury
79,Perverting the course of justice
10D,Possession of article with blade or point
92E,Possession of controlled drugs (Cannabis)
92D,Possession of controlled drugs (excl. Cannabis)
61A,Possession of false documents
10B,Possession of firearms offences
10A,Possession of firearms with intent
10C,Possession of other weapons
14,Procuring illegal abortion
38,Profiting from or concealing knowledge of the proceeds of crime
9A,"Public fear, alarm or distress"
8P,Racially or religiously aggravated assault with injury
105B,Racially or religiously aggravated assault without injury
58J,Racially or religiously aggravated criminal damage
8M,Racially or religiously aggravated harassment
9B,"Racially or religiously aggravated public fear, alarm or distress"
19C,Rape of a female aged 16 and over
19E,Rape of a female child under 13
19D,Rape of a female child under 16
19F,Rape of a male aged 16 and over
19H,Rape of a male child under 13
19G,Rape of a male child under 16
34A,Robbery of business property
34B,Robbery of personal property
70,Sexual activity etc with a person with a mental disorder
21,Sexual activity involving a child under 13
22B,Sexual activity involving child under 16
20A,Sexual assault on a female aged 13 and over
20B,Sexual assault on a female child under 13
17A,Sexual assault on a male aged 13 and over
17B,Sexual assault on a male child under 13
88A,Sexual grooming
46,Shoplifting
27,Soliciting for the purposes of prostitution
8Q,Stalking
41,Theft by an employee
47,Theft from automatic machine or meter
39,Theft from the person
45,Theft from vehicle
40,Theft in a dwelling other than from an automatic machine or meter
42,Theft of mail
44,Theft or unauthorised taking of a pedal cycle
48,Theft or unauthorised taking of motor vehicle
59,Threat or possession with intent to commit criminal damage
3B,Threats to kill
72,Trafficking for sexual exploitation
92A,Trafficking in controlled drugs
88D,Unnatural sexual offences
62A,Violent disorder
96,Wildlife
55,Bankruptcy and insolvency (outcomes only)
52,False accounting (outcomes only)
53F,Fraud by abuse of position (outcomes only)
51,Fraud by company director (outcomes only)
53E,Fraud by failing to disclose information (outcomes only)
53C,"Fraud by false representation: cheque, plastic card and online bank accounts (not PSP) (outcomes only)"
53D,Fraud by false representation: other frauds (outcomes only)
53B,Preserved other fraud and repealed fraud offences (pre Fraud Act 2006) (outcomes only)
31A,Aggravated Burglary Business and Community
29A,Aggravated Burglary Residential
8S,Assault with injury on a constable
30D,Attempted Burglary Business and Community
28F,Attempted Burglary Residential
28H,Attempted Distraction Burglary Residential
30C,Burglary Business and Community
28E,Burglary Residential
28G,Distraction Burglary Residential
8R,Malicious Communications
