mmm-yy,time
Oct-52,Oct-52
Nov-52,Nov-52
Dec-52,Dec-52
Jan-53,Jan-53
Feb-53,Feb-53
Mar-53,Mar-53
Apr-53,Apr-53
May-53,May-53
Jun-53,Jun-53
Jul-53,Jul-53
Aug-53,Aug-53
Sep-53,Sep-53
Oct-53,Oct-53
Nov-53,Nov-53
Dec-53,Dec-53
Jan-54,Jan-54
Feb-54,Feb-54
Mar-54,Mar-54
Apr-54,Apr-54
May-54,May-54
Jun-54,Jun-54
Jul-54,Jul-54
Aug-54,Aug-54
Sep-54,Sep-54
Oct-54,Oct-54
Nov-54,Nov-54
Dec-54,Dec-54
Jan-55,Jan-55
Feb-55,Feb-55
Mar-55,Mar-55
Apr-55,Apr-55
May-55,May-55
Jun-55,Jun-55
Jul-55,Jul-55
Aug-55,Aug-55
Sep-55,Sep-55
Oct-55,Oct-55
Nov-55,Nov-55
Dec-55,Dec-55
Jan-56,Jan-56
Feb-56,Feb-56
Mar-56,Mar-56
Apr-56,Apr-56
May-56,May-56
Jun-56,Jun-56
Jul-56,Jul-56
Aug-56,Aug-56
Sep-56,Sep-56
Oct-56,Oct-56
Nov-56,Nov-56
Dec-56,Dec-56
Jan-57,Jan-57
Feb-57,Feb-57
Mar-57,Mar-57
Apr-57,Apr-57
May-57,May-57
Jun-57,Jun-57
Jul-57,Jul-57
Aug-57,Aug-57
Sep-57,Sep-57
Oct-57,Oct-57
Nov-57,Nov-57
Dec-57,Dec-57
Jan-58,Jan-58
Feb-58,Feb-58
Mar-58,Mar-58
Apr-58,Apr-58
May-58,May-58
Jun-58,Jun-58
Jul-58,Jul-58
Aug-58,Aug-58
Sep-58,Sep-58
Oct-58,Oct-58
Nov-58,Nov-58
Dec-58,Dec-58
Jan-59,Jan-59
Feb-59,Feb-59
Mar-59,Mar-59
Apr-59,Apr-59
May-59,May-59
Jun-59,Jun-59
Jul-59,Jul-59
Aug-59,Aug-59
Sep-59,Sep-59
Oct-59,Oct-59
Nov-59,Nov-59
Dec-59,Dec-59
Jan-60,Jan-60
Feb-60,Feb-60
Mar-60,Mar-60
Apr-60,Apr-60
May-60,May-60
Jun-60,Jun-60
Jul-60,Jul-60
Aug-60,Aug-60
Sep-60,Sep-60
Oct-60,Oct-60
Nov-60,Nov-60
Dec-60,Dec-60
Jan-61,Jan-61
Feb-61,Feb-61
Mar-61,Mar-61
Apr-61,Apr-61
May-61,May-61
Jun-61,Jun-61
Jul-61,Jul-61
Aug-61,Aug-61
Sep-61,Sep-61
Oct-61,Oct-61
Nov-61,Nov-61
Dec-61,Dec-61
Jan-62,Jan-62
Feb-62,Feb-62
Mar-62,Mar-62
Apr-62,Apr-62
May-62,May-62
Jun-62,Jun-62
Jul-62,Jul-62
Aug-62,Aug-62
Sep-62,Sep-62
Oct-62,Oct-62
Nov-62,Nov-62
Dec-62,Dec-62
Jan-63,Jan-63
Feb-63,Feb-63
Mar-63,Mar-63
Apr-63,Apr-63
May-63,May-63
Jun-63,Jun-63
Jul-63,Jul-63
Aug-63,Aug-63
Sep-63,Sep-63
Oct-63,Oct-63
Nov-63,Nov-63
Dec-63,Dec-63
Jan-64,Jan-64
Feb-64,Feb-64
Mar-64,Mar-64
Apr-64,Apr-64
May-64,May-64
Jun-64,Jun-64
Jul-64,Jul-64
Aug-64,Aug-64
Sep-64,Sep-64
Oct-64,Oct-64
Nov-64,Nov-64
Dec-64,Dec-64
Jan-65,Jan-65
Feb-65,Feb-65
Mar-65,Mar-65
Apr-65,Apr-65
May-65,May-65
Jun-65,Jun-65
Jul-65,Jul-65
Aug-65,Aug-65
Sep-65,Sep-65
Oct-65,Oct-65
Nov-65,Nov-65
Dec-65,Dec-65
Jan-66,Jan-66
Feb-66,Feb-66
Mar-66,Mar-66
Apr-66,Apr-66
May-66,May-66
Jun-66,Jun-66
Jul-66,Jul-66
Aug-66,Aug-66
Sep-66,Sep-66
Oct-66,Oct-66
Nov-66,Nov-66
Dec-66,Dec-66
Jan-67,Jan-67
Feb-67,Feb-67
Mar-67,Mar-67
Apr-67,Apr-67
May-67,May-67
Jun-67,Jun-67
Jul-67,Jul-67
Aug-67,Aug-67
Sep-67,Sep-67
Oct-67,Oct-67
Nov-67,Nov-67
Dec-67,Dec-67
Jan-68,Jan-68
Feb-68,Feb-68
Mar-68,Mar-68
Apr-68,Apr-68
May-68,May-68
Jun-68,Jun-68
Jul-68,Jul-68
Aug-68,Aug-68
Sep-68,Sep-68
Oct-68,Oct-68
Nov-68,Nov-68
Dec-68,Dec-68
Jan-69,Jan-69
Feb-69,Feb-69
Mar-69,Mar-69
Apr-69,Apr-69
May-69,May-69
Jun-69,Jun-69
Jul-69,Jul-69
Aug-69,Aug-69
Sep-69,Sep-69
Oct-69,Oct-69
Nov-69,Nov-69
Dec-69,Dec-69
Jan-70,Jan-70
Feb-70,Feb-70
Mar-70,Mar-70
Apr-70,Apr-70
May-70,May-70
Jun-70,Jun-70
Jul-70,Jul-70
Aug-70,Aug-70
Sep-70,Sep-70
Oct-70,Oct-70
Nov-70,Nov-70
Dec-70,Dec-70
Jan-71,Jan-71
Feb-71,Feb-71
Mar-71,Mar-71
Apr-71,Apr-71
May-71,May-71
Jun-71,Jun-71
Jul-71,Jul-71
Aug-71,Aug-71
Sep-71,Sep-71
Oct-71,Oct-71
Nov-71,Nov-71
Dec-71,Dec-71
Jan-72,Jan-72
Feb-72,Feb-72
Mar-72,Mar-72
Apr-72,Apr-72
May-72,May-72
Jun-72,Jun-72
Jul-72,Jul-72
Aug-72,Aug-72
Sep-72,Sep-72
Oct-72,Oct-72
Nov-72,Nov-72
Dec-72,Dec-72
Jan-73,Jan-73
Feb-73,Feb-73
Mar-73,Mar-73
Apr-73,Apr-73
May-73,May-73
Jun-73,Jun-73
Jul-73,Jul-73
Aug-73,Aug-73
Sep-73,Sep-73
Oct-73,Oct-73
Nov-73,Nov-73
Dec-73,Dec-73
Jan-74,Jan-74
Feb-74,Feb-74
Mar-74,Mar-74
Apr-74,Apr-74
May-74,May-74
Jun-74,Jun-74
Jul-74,Jul-74
Aug-74,Aug-74
Sep-74,Sep-74
Oct-74,Oct-74
Nov-74,Nov-74
Dec-74,Dec-74
Jan-75,Jan-75
Feb-75,Feb-75
Mar-75,Mar-75
Apr-75,Apr-75
May-75,May-75
Jun-75,Jun-75
Jul-75,Jul-75
Aug-75,Aug-75
Sep-75,Sep-75
Oct-75,Oct-75
Nov-75,Nov-75
Dec-75,Dec-75
Jan-76,Jan-76
Feb-76,Feb-76
Mar-76,Mar-76
Apr-76,Apr-76
May-76,May-76
Jun-76,Jun-76
Jul-76,Jul-76
Aug-76,Aug-76
Sep-76,Sep-76
Oct-76,Oct-76
Nov-76,Nov-76
Dec-76,Dec-76
Jan-77,Jan-77
Feb-77,Feb-77
Mar-77,Mar-77
Apr-77,Apr-77
May-77,May-77
Jun-77,Jun-77
Jul-77,Jul-77
Aug-77,Aug-77
Sep-77,Sep-77
Oct-77,Oct-77
Nov-77,Nov-77
Dec-77,Dec-77
Jan-78,Jan-78
Feb-78,Feb-78
Mar-78,Mar-78
Apr-78,Apr-78
May-78,May-78
Jun-78,Jun-78
Jul-78,Jul-78
Aug-78,Aug-78
Sep-78,Sep-78
Oct-78,Oct-78
Nov-78,Nov-78
Dec-78,Dec-78
Jan-79,Jan-79
Feb-79,Feb-79
Mar-79,Mar-79
Apr-79,Apr-79
May-79,May-79
Jun-79,Jun-79
Jul-79,Jul-79
Aug-79,Aug-79
Sep-79,Sep-79
Oct-79,Oct-79
Nov-79,Nov-79
Dec-79,Dec-79
Jan-80,Jan-80
Feb-80,Feb-80
Mar-80,Mar-80
Apr-80,Apr-80
May-80,May-80
Jun-80,Jun-80
Jul-80,Jul-80
Aug-80,Aug-80
Sep-80,Sep-80
Oct-80,Oct-80
Nov-80,Nov-80
Dec-80,Dec-80
Jan-81,Jan-81
Feb-81,Feb-81
Mar-81,Mar-81
Apr-81,Apr-81
May-81,May-81
Jun-81,Jun-81
Jul-81,Jul-81
Aug-81,Aug-81
Sep-81,Sep-81
Oct-81,Oct-81
Nov-81,Nov-81
Dec-81,Dec-81
Jan-82,Jan-82
Feb-82,Feb-82
Mar-82,Mar-82
Apr-82,Apr-82
May-82,May-82
Jun-82,Jun-82
Jul-82,Jul-82
